# timestamp target input output err de se
21320 33.613525 0.280000 1.000000 33.333525 -0.480000 2.484307
21330 33.613525 0.340000 1.000000 33.273525 0.060000 2.487634
21340 33.613525 0.340000 1.000000 33.273525 0.000000 2.490961
21350 33.613525 0.340000 1.000000 33.273525 0.000000 2.494289
21370 33.613525 0.670000 1.000000 32.943525 0.330000 2.497583
21380 33.613525 0.330000 1.000000 33.283525 -0.340000 2.500911
21390 33.613525 0.350000 1.000000 33.263525 0.020000 2.504238
21400 33.613525 0.360000 1.000000 33.253525 0.010000 2.507563
21410 33.613525 0.320000 1.000000 33.293525 -0.040000 2.510892
21420 33.613525 0.350000 1.000000 33.263525 0.030000 2.514219
21440 33.613525 0.680000 1.000000 32.933525 0.330000 2.517512
21450 33.613525 0.340000 1.000000 33.273525 -0.340000 2.520839
21460 33.613525 0.350000 1.000000 33.263525 0.010000 2.524166
21470 33.613525 0.410000 1.000000 33.203525 0.060000 2.527486
21490 33.613525 0.610000 1.000000 33.003525 0.200000 2.530787
21500 33.613525 0.380000 1.000000 33.233525 -0.230000 2.534110
21510 33.613525 0.360000 1.000000 33.253525 -0.020000 2.537435
21520 33.613525 0.280000 1.000000 33.333525 -0.080000 2.540769
21530 33.613525 0.340000 1.000000 33.273525 0.060000 2.544096
21540 33.613525 0.340000 1.000000 33.273525 0.000000 2.547423
21560 33.613525 0.680000 1.000000 32.933525 0.340000 2.550717
21570 33.613525 0.350000 1.000000 33.263525 -0.330000 2.554043
21580 33.613525 0.330000 1.000000 33.283525 -0.020000 2.557371
21590 33.613525 0.340000 1.000000 33.273525 0.010000 2.560699
21600 33.613525 0.360000 1.000000 33.253525 0.020000 2.564024
21610 33.613525 0.330000 1.000000 33.283525 -0.030000 2.567352
21630 33.613525 0.680000 1.000000 32.933525 0.350000 2.570646
21640 33.613525 0.340000 1.000000 33.273525 -0.340000 2.573973
21650 33.613525 0.340000 1.000000 33.273525 0.000000 2.577300
21660 33.613525 0.340000 1.000000 33.273525 0.000000 2.580628
21670 33.613525 0.430000 1.000000 33.183525 0.090000 2.583946
21680 33.613525 0.260000 1.000000 33.353525 -0.170000 2.587282
21700 33.613525 0.720000 1.000000 32.893525 0.460000 2.590571
21710 33.613525 0.370000 1.000000 33.243525 -0.350000 2.593895
21720 33.613525 0.270000 1.000000 33.343525 -0.100000 2.597230
21730 33.613525 0.340000 1.000000 33.273525 0.070000 2.600557
21740 33.613525 0.340000 1.000000 33.273525 0.000000 2.603884
21750 33.613525 0.340000 1.000000 33.273525 0.000000 2.607212
21770 33.613525 0.690000 1.000000 32.923525 0.350000 2.610504
21780 33.613525 0.340000 1.000000 33.273525 -0.350000 2.613831
21790 33.613525 0.340000 1.000000 33.273525 0.000000 2.617159
21800 33.613525 0.360000 1.000000 33.253525 0.020000 2.620484
21810 33.613525 0.330000 1.000000 33.283525 -0.030000 2.623812
21820 33.613525 0.340000 1.000000 33.273525 0.010000 2.627140
21840 33.613525 0.690000 1.000000 32.923525 0.350000 2.630432
21850 33.613525 0.350000 1.000000 33.263525 -0.340000 2.633758
21860 33.613525 0.340000 1.000000 33.273525 -0.010000 2.637086
21870 33.613525 0.340000 1.000000 33.273525 0.000000 2.640413
21880 33.613525 0.340000 1.000000 33.273525 0.000000 2.643741
21890 33.613525 0.350000 1.000000 33.263525 0.010000 2.647067
21910 33.613525 0.750000 1.000000 32.863525 0.400000 2.650353
21920 33.613525 0.280000 1.000000 33.333525 -0.470000 2.653687
21930 33.613525 0.350000 1.000000 33.263525 0.070000 2.657013
21940 33.613525 0.340000 1.000000 33.273525 -0.010000 2.660340
21950 33.613525 0.340000 1.000000 33.273525 0.000000 2.663668
21970 33.613525 0.680000 1.000000 32.933525 0.340000 2.666961
21980 33.613525 0.340000 1.000000 33.273525 -0.340000 2.670288
21990 33.613525 0.340000 1.000000 33.273525 0.000000 2.673616
22000 33.613525 0.360000 1.000000 33.253525 0.020000 2.676941
22010 33.613525 0.330000 1.000000 33.283525 -0.030000 2.680269
22020 33.613525 0.340000 1.000000 33.273525 0.010000 2.683597
22040 33.613525 0.680000 1.000000 32.933525 0.340000 2.686890
22050 33.613525 0.340000 1.000000 33.273525 -0.340000 2.690217
22060 33.613525 0.340000 1.000000 33.273525 0.000000 2.693545
22070 33.613525 0.350000 1.000000 33.263525 0.010000 2.696871
22080 33.613525 0.420000 1.000000 33.193525 0.070000 2.700190
22090 33.613525 0.260000 1.000000 33.353525 -0.160000 2.703526
22110 33.613525 0.750000 1.000000 32.863525 0.490000 2.706812
22120 33.613525 0.270000 1.000000 33.343525 -0.480000 2.710147
22130 33.613525 0.350000 1.000000 33.263525 0.080000 2.713473
22140 33.613525 0.340000 1.000000 33.273525 -0.010000 2.716800
22150 33.613525 0.340000 1.000000 33.273525 0.000000 2.720128
22170 33.613525 0.680000 1.000000 32.933525 0.340000 2.723421
22180 33.613525 0.350000 1.000000 33.263525 -0.330000 2.726747
22190 33.613525 0.340000 1.000000 33.273525 -0.010000 2.730075
22200 33.613525 0.350000 1.000000 33.263525 0.010000 2.733401
22210 33.613525 0.330000 1.000000 33.283525 -0.020000 2.736729
22230 33.613525 0.690000 1.000000 32.923525 0.360000 2.740022
22240 33.613525 0.340000 1.000000 33.273525 -0.350000 2.743349
22250 33.613525 0.340000 1.000000 33.273525 0.000000 2.746676
22260 33.613525 0.340000 1.000000 33.273525 0.000000 2.750004
22270 33.613525 0.340000 1.000000 33.273525 0.000000 2.753331
22280 33.613525 0.340000 1.000000 33.273525 0.000000 2.756658
22300 33.613525 0.720000 1.000000 32.893525 0.380000 2.759948
22310 33.613525 0.370000 1.000000 33.243525 -0.350000 2.763272
22320 33.613525 0.280000 1.000000 33.333525 -0.090000 2.766606
22330 33.613525 0.340000 1.000000 33.273525 0.060000 2.769933
22340 33.613525 0.340000 1.000000 33.273525 0.000000 2.773260
22350 33.613525 0.350000 1.000000 33.263525 0.010000 2.776587
22370 33.613525 0.680000 1.000000 32.933525 0.330000 2.779880
22380 33.613525 0.340000 1.000000 33.273525 -0.340000 2.783207
22390 33.613525 0.350000 1.000000 33.263525 0.010000 2.786534
22400 33.613525 0.350000 1.000000 33.263525 0.000000 2.789860
22410 33.613525 0.330000 1.000000 33.283525 -0.020000 2.793188
22420 33.613525 0.340000 1.000000 33.273525 0.010000 2.796516
22440 33.613525 0.690000 1.000000 32.923525 0.350000 2.799808
22450 33.613525 0.340000 1.000000 33.273525 -0.350000 2.803135
22460 33.613525 0.350000 1.000000 33.263525 0.010000 2.806462
22470 33.613525 0.340000 1.000000 33.273525 -0.010000 2.809789
22480 33.613525 0.340000 1.000000 33.273525 0.000000 2.813116
22490 33.613525 0.340000 1.000000 33.273525 0.000000 2.816444
22510 33.613525 0.750000 1.000000 32.863525 0.410000 2.819730
22520 33.613525 0.270000 1.000000 33.343525 -0.480000 2.823065
22530 33.613525 0.350000 1.000000 33.263525 0.080000 2.826391
22540 33.613525 0.340000 1.000000 33.273525 -0.010000 2.829718
22550 33.613525 0.350000 1.000000 33.263525 0.010000 2.833045
22570 33.613525 0.680000 1.000000 32.933525 0.330000 2.836338
22580 33.613525 0.350000 1.000000 33.263525 -0.330000 2.839664
22590 33.613525 0.340000 1.000000 33.273525 -0.010000 2.842992
22600 33.613525 0.360000 1.000000 33.253525 0.020000 2.846317
22610 33.613525 0.320000 1.000000 33.293525 -0.040000 2.849646
22620 33.613525 0.340000 1.000000 33.273525 0.020000 2.852974
22640 33.613525 0.690000 1.000000 32.923525 0.350000 2.856266
22650 33.613525 0.340000 1.000000 33.273525 -0.350000 2.859593
22660 33.613525 0.340000 1.000000 33.273525 0.000000 2.862921
22670 33.613525 0.350000 1.000000 33.263525 0.010000 2.866247
22680 33.613525 0.340000 1.000000 33.273525 -0.010000 2.869574
22690 33.613525 0.350000 1.000000 33.263525 0.010000 2.872901
22710 33.613525 0.750000 1.000000 32.863525 0.400000 2.876187
22720 33.613525 0.270000 1.000000 33.343525 -0.480000 2.879522
22730 33.613525 0.340000 1.000000 33.273525 0.070000 2.882849
22740 33.613525 0.340000 1.000000 33.273525 0.000000 2.886176
22750 33.613525 0.340000 1.000000 33.273525 0.000000 2.889504
22770 33.613525 0.680000 1.000000 32.933525 0.340000 2.892797
22780 33.613525 0.340000 1.000000 33.273525 -0.340000 2.896124
22790 33.613525 0.340000 1.000000 33.273525 0.000000 2.899452
22800 33.613525 0.350000 1.000000 33.263525 0.010000 2.902778
22810 33.613525 0.330000 1.000000 33.283525 -0.020000 2.906106
22820 33.613525 0.340000 1.000000 33.273525 0.010000 2.909434
22840 33.613525 0.690000 1.000000 32.923525 0.350000 2.912726
22850 33.613525 0.340000 1.000000 33.273525 -0.350000 2.916053
22860 33.613525 0.330000 1.000000 33.283525 -0.010000 2.919382
22870 33.613525 0.350000 1.000000 33.263525 0.020000 2.922708
22880 33.613525 0.340000 1.000000 33.273525 -0.010000 2.926035
22890 33.613525 0.340000 1.000000 33.273525 0.000000 2.929363
22910 33.613525 0.760000 1.000000 32.853525 0.420000 2.932648
22920 33.613525 0.270000 1.000000 33.343525 -0.490000 2.935983
22930 33.613525 0.350000 1.000000 33.263525 0.080000 2.939309
22940 33.613525 0.340000 1.000000 33.273525 -0.010000 2.942636
22950 33.613525 0.340000 1.000000 33.273525 0.000000 2.945964
22970 33.613525 0.680000 1.000000 32.933525 0.340000 2.949257
22980 33.613525 0.330000 1.000000 33.283525 -0.350000 2.952585
22990 33.613525 0.340000 1.000000 33.273525 0.010000 2.955913
23000 33.613525 0.370000 1.000000 33.243525 0.030000 2.959237
23010 33.613525 0.310000 1.000000 33.303525 -0.060000 2.962567
23020 33.613525 0.350000 1.000000 33.263525 0.040000 2.965894
23040 33.613525 0.680000 1.000000 32.933525 0.330000 2.969187
23050 33.613525 0.340000 1.000000 33.273525 -0.340000 2.972514
23060 33.613525 0.340000 1.000000 33.273525 0.000000 2.975842
23070 33.613525 0.350000 1.000000 33.263525 0.010000 2.979168
23080 33.613525 0.350000 1.000000 33.263525 0.000000 2.982494
